SalesOrder,CustomerOrderNumber,ShipToContact,ShipToAdd1,ShipToAdd2,ShipToAdd3,ShipToSuburb,ShipToState,ShipToPostCode,ShipToCountry,CreatedDate,PickedDate,DispatchedDate,ConsignmentNumber
"SO-00059000","SO-00059000","GiGi The Gourmet Grocer","99 Cowabbie St","","","COOLAMON","NSW","2701","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013039"
"SO-00059001","SO-00059001","Harveys of Highton","9-11 Bellevue Avenue","","","HIGHTON","VIC","3216","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013041"
"SO-00059002","SO-00059002","Commercial Hotel Tumut","103 Wynyard Street","","","TUMUT","NSW","2720","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013042"
"SO-00059007","SO-00059007","Ritchies Balnarring GROCERY","1 Russell St","","","BALNARRING","VIC","3926","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013043"
"SO-00059008","SO-00059008","Brew Cellar Distribution","12 Business Street","","","YATALA","QLD","4207","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013050"
"SO-00059009","SO-00059009","Top Dog Liquor - Strathdale","Unit 9/96 Edwards Road","","","STRATHDALE","VIC","3550","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013037"
"SO-00059010","SO-00059010","Duck Duck Goose & Larder","17-21 Piper Street","Please deliver on Monday, Thursday or Fr","","KYNETON","VIC","3444","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013038"
"SO-00059011","SO-00059011","Baranduda IGA","34 Verbena Street","","","BARANDUDA","VIC","3691","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013044"
"SO-00059012","SO-00059012","Ritchies Yarrawonga GROCERY","2-10 Belmore St","","","YARRAWONGA","VIC","3730","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013040"
"SO-00059013","SO-00059013","Ritchies Towerhill GROCERY","Cnr Golf Links & Hastings Road","","","FRANKSTON","VIC","3199","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013045"
"SO-00059014","SO-00059014","Foodworks Omeo","147 Day Ave","","","OMEO","VIC","3898","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013036"
"SO-00059015","SO-00059015","Ritchies Boambee GROCERY","Cnr Linden & Bruce King","","","BOAMBEE EAST","NSW","2452","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013046"
"SO-00059016","SO-00059016","Ritchies Rowville GROCERY","1100 Wellington Road","","","ROWVILLE","VIC","3178","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013047"
"SO-00059017","SO-00059017","Swan Hill Wholesalers","89 - 93 Karinie Street","","","SWAN HILL","VIC","3585","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013048"
"SO-00059018","SO-00059018","Shepparton Cannery Surplus, Wendouree","1239 Howitt Street","","","WENDOUREE","VIC","3355","AUSTRALIA","29/10/24","30/10/24","30/10/24","TTLB013049"
"SO-00059019","SO-00059019","Metcash Trading Ltd TAS WAVERLEY","31 Tasman Highway","","","WAVERLEY","TAS","7250","AUSTRALIA","29/10/24","30/10/24","30/10/24","428996"
"SO-00059020","SO-00059020","Metcash Trading Ltd NSW","71 Huntingwood Drive","","","EASTERN CREEK","NSW","2766","AUSTRALIA","29/10/24","30/10/24","30/10/24","429007"
"SO-00059021","SO-00059021","Monacellars Trading Pty Ltd","3 Cyanamid St","","","LAVERTON NORTH","VIC","3026","AUSTRALIA","29/10/24","30/10/24","30/10/24","429027"
"SO-00059024","SO-00059024","Metcash Trading Ltd ACT","Nyrang Street & Mildura Street","","","FYSHWICK","ACT","2609","AU","30/10/24","30/10/24","30/10/24","429029"
"TX-00014706","","Procanning","74 Lara Way","","","CAMPBELFIELD","VIC","3061","AU","30/10/24","30/10/24","30/10/24","429052"
