SalesOrder,CustomerOrderNumber,ShipToContact,ShipToAdd1,ShipToAdd2,ShipToAdd3,ShipToSuburb,ShipToState,ShipToPostCode,ShipToCountry,CreatedDate,PickedDate,DispatchedDate,ConsignmentNumber
"SO-00058514","SO-00058514","Endeavour Kemps Creek Liquor DC 4909","6 Cuprum Close","","","KEMPS CREEK","NSW","2178","AUSTRALIA","01/10/24","02/10/24","07/10/24","423574"
"SO-00058517","SO-00058517","Endeavour Melbourne DC 3981","1-23 Interchange Drive","","","LAVERTON NORTH","VIC","3026","AU","01/10/24","02/10/24","07/10/24","423577"
"SO-00058586","SO-00058586","Shepparton Cannery Surplus, Wendouree","1239 Howitt Street","","","WENDOUREE","VIC","3355","AUSTRALIA","04/10/24","07/10/24","07/10/24","TTLB012726"
"SO-00058588","SO-00058588","Ritchies Dromana GROCERY","Corner O'Donohue Street & Point Nepean R","","","DROMANA","VIC","3936","AUSTRALIA","04/10/24","07/10/24","07/10/24","TTLB012724"
"SO-00058589","SO-00058589","Champions IGA Grovedale East","BMS RETAIL GROUP HOLDINGS PTY LTD","","","GROVEDALE EAST","VIC","3216","AUSTRALIA","04/10/24","07/10/24","07/10/24","TTLB012725"
"SO-00058592","SO-00058592","Pennys Bar N Brew","108 Musgrave Street","","","BERSERKER","QLD","4701","AUSTRALIA","04/10/24","07/10/24","07/10/24","TTLB012727"
